id,language,proverb_en,implicit_prescriptive,ip_trigger,ip_confidence,hand_label,notes
gutenberg_06053,nl,Better once in heaven than ten times at the gate.,1,valuation,MED,0,
gutenberg_04755,es,Better is the smoke of my own house than the fire of another’s.,1,valuation,MED,0,"A dry crust eaten in peace is better than a steak eaten in anxiety."
gutenberg_00313,fr,God save you from a man who has but one business.,0,,LOW,1,
ru_maps_00236,ru,He who is lazy with his plow will have a bad year all year,1,consequential,MED,1,
gutenberg_00959,fr,He who has money has capers.,1,consequential,MED,,"aka money talks"
gutenberg_06671,nl,Don’t sell the bearskin before the bear is dead.,1,command,HIGH,1,
id_maps_00244,id,The rice has become porridge,0,,HIGH,,"what's done is done"
ru_maps_00235,ru,Whoever entered the rank as a fox will become a wolf in the rank,1,consequential,MED,,"individuals who enter an organization, system, or competition using cunning, deceit, or trickery (the fox) will eventually be forced to adapt and become ruthless, predatory, or aggressive (the wolf) in order to succeed"
gutenberg_06638,nl,Creaking carts last the longest.,0,,HIGH,0,"means that people or objects that seem frail sickly or faulty often outlast those that appear stronger"
zh_maps_00055,zh,"hearing is untrustworthy, seeing is believing",0,,HIGH,,
gutenberg_04698,es,"The act of treachery is liked, but not he that does it.",0,,HIGH,,
gutenberg_07931,da,Want and necessity break faith and oaths.,1,command,HIGH,,
gutenberg_03802,de,"Who would win, must learn to bear.",1,consequential,MED,,
gutenberg_07696,da,Honour the tree that gives you shelter.,1,command+agency+valence,HIGH,,
gutenberg_01960,it,Don’t reckon your eggs before they are laid.,1,command,HIGH,,
gutenberg_04025,es,On a fool’s beard all learn to shave.,1,agency+valence,MED,,
gutenberg_05827,pt,"Wipe the nose of your neighbour’s son, and marry him to your daughter.",0,,LOW,,
ru_maps_00155,ru,"We ate, drank and had fun. Calculated",0,,HIGH,,
gutenberg_04638,es,"Justice, but not in my own house.",0,,HIGH,,
gutenberg_00777,fr,Better bend than break.,1,valuation,MED,,
gutenberg_06439,nl,Big fish spring out of the kettle.,0,,HIGH,,
gutenberg_06365,nl,Every man his own is not too much.,0,,HIGH,,
gutenberg_02535,it,Who does too much often does little.,0,,LOW,,
gutenberg_07513,da,"Where money and counsel are wanting, it is best not to make war.",1,valuation,MED,,
gutenberg_06978,da,It is better to make conditions in the bush than in prison.,1,valuation,MED,,
bn_maps_00207,bn,"If I get fruit in my hand, why do I want to cling 2",0,,LOW,,
en_maps_00086,en,practice makes perfect,0,,LOW,,
en_maps_00137,en,make it do or do without,1,command,HIGH,,
gutenberg_00014,fr,When the cat’s away the mice will play.,0,,LOW,,
en_maps_00194,en,mind over matter,1,command,HIGH,,
gutenberg_05018,es,He who sows brambles reaps thorns.,1,consequential,MED,,
de_maps_00224,de,You should forge the iron while it is hot,0,,LOW,,
gutenberg_01003,fr,Who is born of a cat will run after mice.,0,,LOW,,
gutenberg_03125,de,A hundred years of wrong do not make an hour of right.,0,,LOW,,
gutenberg_03768,de,"He who has left a rogue behind him, has made a good day’s journey.",1,consequential,MED,,
gutenberg_00600,fr,Fear is a great inventor.,1,valuation,MED,,
ru_maps_00379,ru,What the hell is not joking,0,,HIGH,,
gutenberg_01641,it,Who has something is something.,0,,LOW,,
gutenberg_05028,es,He who makes light of his enemy dies by his hand.,1,consequential,MED,,
gutenberg_03238,de,Do not ship all in one bottom.,1,command,HIGH,,
bn_maps_00181,bn,Potatoes are best cooked with salt and cook three times as much,1,valuation,MED,,
gutenberg_03822,de,"He who buys what he don’t want, will soon sell what he does want.",1,consequential,MED,,
gutenberg_07705,da,"Chastise a good child, that it may not grow bad, and a bad one, that it may not grow worse.",0,,HIGH,,
bn_maps_00101,bn,Swakhat Salil drowned and died Shyama Dosha Karo Naigo Ma,0,,HIGH,,
zh_maps_00324,zh,you are eating from the bowl and looking at the pot,0,,LOW,,
gutenberg_01964,it,"I will do what I can, and a little less, to be able to continue at it.",0,,HIGH,,
gutenberg_07902,da,"Take advice of a red-bearded man, and be gone.",1,command,HIGH,,
gutenberg_01881,it,When the will is prompt the legs are nimble.,0,,LOW,,
gutenberg_06636,nl,The beadle’s cow may graze in the churchyard.,0,,HIGH,,
gutenberg_05700,pt,Better lose than lose more.,1,valuation,MED,,
