row_id,id,language,proverb_native,proverb_en,prescriptive_or_descriptive,pd_votes,pd_agreement,has_implicit_prescription,imp_votes,imp_agreement
1,gutenberg_06651,nl,"Ligt gekomen, ligt gegaan","Lightly come, lightly gone.",1,1;1;1,unanimous,0,0;0,unanimous
2,gutenberg_03756,de,"Wer dem Haufen folgt, hat viele Gesellen",He who follows the crowd has many companions.,1,1;1;1,unanimous,,1;0,"TIE {'1': 1, '0': 1} — needs adjudication"
3,gutenberg_05129,es,"Quien poco sabe, presto lo reza",He who knows little soon tells it.,1,1;1;1,unanimous,0,0;0,unanimous
4,gutenberg_06520,nl,Het is zoo veel als een boon in een brouw ketel,That’s as much as a bean in a brewing copper.,1,1;1;1,unanimous,0,0;0,unanimous
5,zh_maps_00313,zh,无鱼，虾也好,"No fish, shrimp is also good",1,1;1;1,unanimous,1,1;1,unanimous
6,gutenberg_06535,nl,Hij brandt de kaars aan beide einden,He burns the candle at both ends.,1,1;1;1,unanimous,0,0;0,unanimous
7,gutenberg_03157,de,"Jacobs Stimme, Esaus Hände","Jacob’s voice, Esau’s hands.",1,1;1;1,unanimous,0,0;0,unanimous
8,gutenberg_02881,de,Eine Biene ist so gut als eine Handvoll Fliegen,One bee is as good as a handful of flies.,1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
9,gutenberg_05625,pt,Fazenda herdada he menos estimada,An estate inherited is the less valued.,1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
10,gutenberg_07757,da,Naar Saaret er lægt er Svien glemt,When the wound is healed the pain is forgotten.,1,1;1;1,unanimous,0,0;0,unanimous
11,gutenberg_04180,es,"A quien Dios quiere bien, la perra le pare lechones","Whom God loves, his bitch litters pigs.",1,1;1;1,unanimous,0,0;0,unanimous
12,gutenberg_06793,nl,Uit den overvloed des harten spreekt de mond,Out of the abundance of the heart the mouth speaketh.,1,1;1;1,unanimous,0,0;0,unanimous
13,gutenberg_01781,it,Con poco cervello si governa il mondo,The world is governed with little brains.,1,1;1;1,unanimous,0,0;0,unanimous
14,en_maps_00267,en,you pays your money and you takes your choice,you pays your money and you takes your choice,0,1;0;0,majority,0,0;0,unanimous
15,de_maps_00089,de,"pack schlägt sich, pack verträgt sich","pack fights, pack gets along",1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
16,ru_maps_00107,ru,"Готовь сани летом, а телегу зимой",Prepare a sleigh in the summer and a cart in the winter,0,0;0;0,unanimous,1,1;1,unanimous
17,gutenberg_03808,de,"Wer hat, der behalt’; Liebe wird alt, Unglück kommt bald","Who has, let him thereof take heed; love wanes, misfortune comes with speed.",1,1;0;1,majority,0,0,single vote only
18,gutenberg_03380,de,"Nichts kühner als der Müller Hemd, das jeden Morgen einen Dieb beim Kragen nimmt","Nothing bolder than the miller’s shirt, that every morning collars a thief.",1,1;1;1,unanimous,0,0;0,unanimous
19,gutenberg_07578,da,Kappen giör hverken Præst eller Degn,It is not the surplice that makes parson or clerk.,1,1;1;1,unanimous,0,0;0,unanimous
20,gutenberg_06569,nl,"Hij telt zijne kiekens, eer de eijers gelegd zijn",He counts his chickens before they are hatched.,1,1;1;1,unanimous,0,0;0,unanimous
21,gutenberg_04828,es,"No falte cibo al palomar, que las palomas ellas se vernán","Let there be no lack of food in the pigeon-house, and the pigeons will come to it.",1,1;1;0,majority,1,1;1;1,unanimous
22,gutenberg_04844,es,"No hay placer que no enfade, y mas si cuesta de valde","There is no pleasure but palls, and the more so if it costs nothing",1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
23,gutenberg_03061,de,Goldener Hammer bricht eisernes Thor,A golden hammer breaks an iron gate.,1,1;1;1,unanimous,,1;0,"TIE {'1': 1, '0': 1} — needs adjudication"
24,gutenberg_03297,de,Man soll die Beute nicht vor dem Siege theilen,Don’t divide the spoil before the victory is won.,0,0;0;0,unanimous,1,1;1,unanimous
25,gutenberg_02590,it,Una bugia ne tira dieci,One lie draws ten after it.,1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
26,bn_maps_00093,bn,অন্ধকারে সব বিড়ালকে ধূসর দেখায়,All cats look gray in the dark,1,1;1;1,unanimous,0,0;0,unanimous
27,de_maps_00247,de,der beste arzt ist jederzeit des eigenen menschen mässigkeit,the best doctor at all times is one's own temperance,1,1;1;1,unanimous,1,1;1,unanimous
28,gutenberg_00034,fr,A homme hardi fortune tend la main,To a bold man fortune holds out her hand.,1,1;1;0,majority,1,1;1;1,unanimous
29,gutenberg_06401,nl,Gelegenheid maakt genegenheid,Opportunity makes desire.,1,1;1;1,unanimous,0,0;0,unanimous
30,ru_maps_00303,ru,Назвaлся груздем - полезaй в кузов,Called yourself a milk mushroom - get into the back,1,1;1;1,unanimous,0,0;0,unanimous
31,de_maps_00074,de,"man muss die suppe auslöffeln, die man sich eingebrockt hat",you have to eat out the soup you made for yourself,0,0;1;0,majority,1,1;1;1,unanimous
32,gutenberg_05927,pt,"Queres que te siga o caõ, da-lhe paõ","If you would have the dog follow you, give him bread.",0,0;0;0,unanimous,1,1;1,unanimous
33,gutenberg_00901,fr,Petite chose aide souvent,A little thing often helps.,1,1;0;1,majority,1,1,single vote only
34,gutenberg_00766,fr,Mieux vaut assez que trop,Enough is better than too much.,1,1;0;1,majority,1,1,single vote only
35,gutenberg_07647,da,Man faaer at bage af det Meel man har,You must contrive to bake with the flour you have.,0,0;0;0,unanimous,1,1;1,unanimous
36,gutenberg_00734,fr,"L’homme n’a ni sens ni raison, qui jeune femme laisse au tison",The man has neither sense nor reason who leaves a young wife at home.,1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
37,gutenberg_07304,da,"Fader og Moder ere gode, end er Gud bedre","Father and mother are kind, but God is kinder.",1,1;1;1,unanimous,0,0;0,unanimous
38,gutenberg_00569,fr,La gibecière de l’avocat est une bouche d’enfer,The lawyer’s pouch is a mouth of hell.,1,1;1;1,unanimous,,0;1,"TIE {'0': 1, '1': 1} — needs adjudication"
