row_id,id,language,proverb_en,human_form_code,human_implicit_code,form_pred__qwen2.5:7b,form_code__qwen2.5:7b,implicit_pred__qwen2.5:7b,implicit_code__qwen2.5:7b,form_pred__llama3.1:8b,form_code__llama3.1:8b,implicit_pred__llama3.1:8b,implicit_code__llama3.1:8b,form_pred__gemma2:9b,form_code__gemma2:9b,implicit_pred__gemma2:9b,implicit_code__gemma2:9b,form_pred__ensemble,form_code__ensemble,form_ensemble_correct,implicit_pred__ensemble,implicit_code__ensemble,implicit_ensemble_correct
1,gutenberg_06651,nl,"Lightly come, lightly gone.",1,0,descriptive,1,no,0,descriptive,1,no,0,descriptive,1,no,0,descriptive,1,1,no,0,1
2,gutenberg_03756,de,He who follows the crowd has many companions.,1,,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
3,gutenberg_05129,es,He who knows little soon tells it.,1,0,descriptive,1,no,0,prescriptive,0,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
4,gutenberg_06520,nl,That’s as much as a bean in a brewing copper.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
5,zh_maps_00313,zh,"No fish, shrimp is also good",1,1,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,1
6,gutenberg_06535,nl,He burns the candle at both ends.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
7,gutenberg_03157,de,"Jacob’s voice, Esau’s hands.",1,0,descriptive,1,no,0,prescriptive,0,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
8,gutenberg_02881,de,One bee is as good as a handful of flies.,1,,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
9,gutenberg_05625,pt,An estate inherited is the less valued.,1,,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
10,gutenberg_07757,da,When the wound is healed the pain is forgotten.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
11,gutenberg_04180,es,"Whom God loves, his bitch litters pigs.",1,0,descriptive,1,no,0,prescriptive,0,yes,1,prescriptive,0,yes,1,prescriptive,0,0,yes,1,0
12,gutenberg_06793,nl,Out of the abundance of the heart the mouth speaketh.,1,0,descriptive,1,no,0,descriptive,1,no,0,descriptive,1,no,0,descriptive,1,1,no,0,1
13,gutenberg_01781,it,The world is governed with little brains.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
14,en_maps_00267,en,you pays your money and you takes your choice,0,0,descriptive,1,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,no,0,1
15,de_maps_00089,de,"pack fights, pack gets along",1,,descriptive,1,no,0,prescriptive,0,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
16,ru_maps_00107,ru,Prepare a sleigh in the summer and a cart in the winter,0,1,descriptive,1,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,no,0,0
17,gutenberg_03808,de,"Who has, let him thereof take heed; love wanes, misfortune comes with speed.",1,0,descriptive,1,yes,1,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,yes,1,0
18,gutenberg_03380,de,"Nothing bolder than the miller’s shirt, that every morning collars a thief.",1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
19,gutenberg_07578,da,It is not the surplice that makes parson or clerk.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
20,gutenberg_06569,nl,He counts his chickens before they are hatched.,1,0,descriptive,1,yes,1,descriptive,1,yes,1,prescriptive,0,no,0,descriptive,1,1,yes,1,0
21,gutenberg_04828,es,"Let there be no lack of food in the pigeon-house, and the pigeons will come to it.",1,1,descriptive,1,yes,1,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,yes,1,1
22,gutenberg_04844,es,"There is no pleasure but palls, and the more so if it costs nothing",1,,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
23,gutenberg_03061,de,A golden hammer breaks an iron gate.,1,,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
24,gutenberg_03297,de,Don’t divide the spoil before the victory is won.,0,1,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,no,0,0
25,gutenberg_02590,it,One lie draws ten after it.,1,,descriptive,1,yes,1,prescriptive,0,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
26,bn_maps_00093,bn,All cats look gray in the dark,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
27,de_maps_00247,de,the best doctor at all times is one's own temperance,1,1,descriptive,1,no,0,descriptive,1,yes,1,prescriptive,0,no,0,descriptive,1,1,no,0,0
28,gutenberg_00034,fr,To a bold man fortune holds out her hand.,1,1,descriptive,1,yes,1,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,yes,1,1
29,gutenberg_06401,nl,Opportunity makes desire.,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
30,ru_maps_00303,ru,Called yourself a milk mushroom - get into the back,1,0,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,no,0,1
31,de_maps_00074,de,you have to eat out the soup you made for yourself,0,1,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,no,0,0
32,gutenberg_05927,pt,"If you would have the dog follow you, give him bread.",0,1,prescriptive,0,yes,1,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,yes,1,1
33,gutenberg_00901,fr,A little thing often helps.,1,1,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,1
34,gutenberg_00766,fr,Enough is better than too much.,1,1,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,no,0,0
35,gutenberg_07647,da,You must contrive to bake with the flour you have.,0,1,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,1,no,0,0
36,gutenberg_00734,fr,The man has neither sense nor reason who leaves a young wife at home.,1,,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,no,0,
37,gutenberg_07304,da,"Father and mother are kind, but God is kinder.",1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
38,gutenberg_00569,fr,The lawyer’s pouch is a mouth of hell.,1,,descriptive,1,no,0,prescriptive,0,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
39,gutenberg_01255,fr,A little help does a great deal.,0,1,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,0,yes,1,1
40,ru_maps_00227,ru,Anyone who can’t sit still won’t get any good,1,1,prescriptive,0,no,0,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,no,0,0
41,gutenberg_03629,de,"While the grass grows, the steed starves.",1,,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,
42,de_maps_00050,de,barking dogs don't bite!,1,0,descriptive,1,no,0,descriptive,1,yes,1,descriptive,1,yes,1,descriptive,1,1,yes,1,0
43,zh_maps_00056,zh,"If the young don't work hard, they will be sad when they are older",1,1,prescriptive,0,yes,1,prescriptive,0,yes,1,prescriptive,0,no,0,prescriptive,0,0,yes,1,1
